100001Pedido de Compra em 12/12/2019 com 10 itens201912121855270000143,00E
20000100001Item do Pedido 00001 e valor: R$ 143,00           0000143,00
20000200001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20000300001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20000400001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20000500001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20000600001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20000700001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20000800001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20000900001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20001000001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
20001100001Item do Pedido 00001 e valor: R$ 0,00             0000000,00
100002Pedido de Compra em 05/12/2019 com 9 itens201912051855270000144,00E
20001200002Item do Pedido 00002 e valor: R$ 3,00             0000003,00
20001300002Item do Pedido 00002 e valor: R$ 106,00           0000106,00
20001400002Item do Pedido 00002 e valor: R$ 6,00             0000006,00
20001500002Item do Pedido 00002 e valor: R$ 19,00            0000019,00
20001600002Item do Pedido 00002 e valor: R$ 8,00             0000008,00
20001700002Item do Pedido 00002 e valor: R$ 1,00             0000001,00
20001800002Item do Pedido 00002 e valor: R$ 1,00             0000001,00
20001900002Item do Pedido 00002 e valor: R$ 0,00             0000000,00
20002000002Item do Pedido 00002 e valor: R$ 0,00             0000000,00
20002100002Item do Pedido 00002 e valor: R$ 0,00             0000000,00
100003Pedido de Compra em 05/12/2019 com 9 itens201912051855270000025,00E
20002200003Item do Pedido 00003 e valor: R$ 18,00            0000018,00
20002300003Item do Pedido 00003 e valor: R$ 5,00             0000005,00
20002400003Item do Pedido 00003 e valor: R$ 2,00             0000002,00
20002500003Item do Pedido 00003 e valor: R$ 0,00             0000000,00
20002600003Item do Pedido 00003 e valor: R$ 0,00             0000000,00
20002700003Item do Pedido 00003 e valor: R$ 0,00             0000000,00
20002800003Item do Pedido 00003 e valor: R$ 0,00             0000000,00
20002900003Item do Pedido 00003 e valor: R$ 0,00             0000000,00
20003000003Item do Pedido 00003 e valor: R$ 0,00             0000000,00
20003100003Item do Pedido 00003 e valor: R$ 0,00             0000000,00
100004Pedido de Compra em 05/12/2019 com 9 itens201912051855270000092,00E
20003200004Item do Pedido 00004 e valor: R$ 3,00             0000003,00
20003300004Item do Pedido 00004 e valor: R$ 32,00            0000032,00
20003400004Item do Pedido 00004 e valor: R$ 21,00            0000021,00
20003500004Item do Pedido 00004 e valor: R$ 17,00            0000017,00
20003600004Item do Pedido 00004 e valor: R$ 7,00             0000007,00
20003700004Item do Pedido 00004 e valor: R$ 9,00             0000009,00
20003800004Item do Pedido 00004 e valor: R$ 1,00             0000001,00
20003900004Item do Pedido 00004 e valor: R$ 1,00             0000001,00
20004000004Item do Pedido 00004 e valor: R$ 1,00             0000001,00
20004100004Item do Pedido 00004 e valor: R$ 0,00             0000000,00
100005Pedido de Compra em 04/12/2019 com 10 itens201912041855270000141,00E
20004200005Item do Pedido 00005 e valor: R$ 22,00            0000022,00
20004300005Item do Pedido 00005 e valor: R$ 100,00           0000100,00
20004400005Item do Pedido 00005 e valor: R$ 10,00            0000010,00
20004500005Item do Pedido 00005 e valor: R$ 7,00             0000007,00
20004600005Item do Pedido 00005 e valor: R$ 2,00             0000002,00
20004700005Item do Pedido 00005 e valor: R$ 0,00             0000000,00
20004800005Item do Pedido 00005 e valor: R$ 0,00             0000000,00
20004900005Item do Pedido 00005 e valor: R$ 0,00             0000000,00
20005000005Item do Pedido 00005 e valor: R$ 0,00             0000000,00
20005100005Item do Pedido 00005 e valor: R$ 0,00             0000000,00
20005200005Item do Pedido 00005 e valor: R$ 0,00             0000000,00
100006Pedido de Compra em 04/12/2019 com 10 itens201912041855270000198,00E
20005300006Item do Pedido 00006 e valor: R$ 117,00           0000117,00
20005400006Item do Pedido 00006 e valor: R$ 33,00            0000033,00
20005500006Item do Pedido 00006 e valor: R$ 45,00            0000045,00
20005600006Item do Pedido 00006 e valor: R$ 1,00             0000001,00
20005700006Item do Pedido 00006 e valor: R$ 2,00             0000002,00
20005800006Item do Pedido 00006 e valor: R$ 0,00             0000000,00
20005900006Item do Pedido 00006 e valor: R$ 0,00             0000000,00
20006000006Item do Pedido 00006 e valor: R$ 0,00             0000000,00
20006100006Item do Pedido 00006 e valor: R$ 0,00             0000000,00
20006200006Item do Pedido 00006 e valor: R$ 0,00             0000000,00
20006300006Item do Pedido 00006 e valor: R$ 0,00             0000000,00
100007Pedido de Compra em 04/12/2019 com 10 itens201912041855270000088,00E
20006400007Item do Pedido 00007 e valor: R$ 47,00            0000047,00
20006500007Item do Pedido 00007 e valor: R$ 1,00             0000001,00
20006600007Item do Pedido 00007 e valor: R$ 3,00             0000003,00
20006700007Item do Pedido 00007 e valor: R$ 2,00             0000002,00
20006800007Item do Pedido 00007 e valor: R$ 28,00            0000028,00
20006900007Item do Pedido 00007 e valor: R$ 5,00             0000005,00
20007000007Item do Pedido 00007 e valor: R$ 2,00             0000002,00
20007100007Item do Pedido 00007 e valor: R$ 0,00             0000000,00
20007200007Item do Pedido 00007 e valor: R$ 0,00             0000000,00
20007300007Item do Pedido 00007 e valor: R$ 0,00             0000000,00
20007400007Item do Pedido 00007 e valor: R$ 0,00             0000000,00
100008Pedido de Compra em 04/12/2019 com 10 itens201912041855270000028,00E
20007500008Item do Pedido 00008 e valor: R$ 3,00             0000003,00
20007600008Item do Pedido 00008 e valor: R$ 21,00            0000021,00
20007700008Item do Pedido 00008 e valor: R$ 1,00             0000001,00
20007800008Item do Pedido 00008 e valor: R$ 1,00             0000001,00
20007900008Item do Pedido 00008 e valor: R$ 2,00             0000002,00
20008000008Item do Pedido 00008 e valor: R$ 0,00             0000000,00
20008100008Item do Pedido 00008 e valor: R$ 0,00             0000000,00
20008200008Item do Pedido 00008 e valor: R$ 0,00             0000000,00
20008300008Item do Pedido 00008 e valor: R$ 0,00             0000000,00
20008400008Item do Pedido 00008 e valor: R$ 0,00             0000000,00
20008500008Item do Pedido 00008 e valor: R$ 0,00             0000000,00
100009Pedido de Compra em 04/12/2019 com 10 itens201912041855270000159,00E
20008600009Item do Pedido 00009 e valor: R$ 26,00            0000026,00
20008700009Item do Pedido 00009 e valor: R$ 14,00            0000014,00
20008800009Item do Pedido 00009 e valor: R$ 107,00           0000107,00
20008900009Item do Pedido 00009 e valor: R$ 1,00             0000001,00
20009000009Item do Pedido 00009 e valor: R$ 11,00            0000011,00
20009100009Item do Pedido 00009 e valor: R$ 0,00             0000000,00
20009200009Item do Pedido 00009 e valor: R$ 0,00             0000000,00
20009300009Item do Pedido 00009 e valor: R$ 0,00             0000000,00
20009400009Item do Pedido 00009 e valor: R$ 0,00             0000000,00
20009500009Item do Pedido 00009 e valor: R$ 0,00             0000000,00
20009600009Item do Pedido 00009 e valor: R$ 0,00             0000000,00
100010Pedido de Compra em 04/12/2019 com 10 itens201912041855270000173,00E
20009700010Item do Pedido 00010 e valor: R$ 125,00           0000125,00
20009800010Item do Pedido 00010 e valor: R$ 27,00            0000027,00
20009900010Item do Pedido 00010 e valor: R$ 10,00            0000010,00
20010000010Item do Pedido 00010 e valor: R$ 4,00             0000004,00
20010100010Item do Pedido 00010 e valor: R$ 6,00             0000006,00
20010200010Item do Pedido 00010 e valor: R$ 1,00             0000001,00
20010300010Item do Pedido 00010 e valor: R$ 0,00             0000000,00
20010400010Item do Pedido 00010 e valor: R$ 0,00             0000000,00
20010500010Item do Pedido 00010 e valor: R$ 0,00             0000000,00
20010600010Item do Pedido 00010 e valor: R$ 0,00             0000000,00
20010700010Item do Pedido 00010 e valor: R$ 0,00             0000000,00
100011Pedido de Compra em 04/12/2019 com 10 itens201912041855270000066,00E
20010800011Item do Pedido 00011 e valor: R$ 27,00            0000027,00
20010900011Item do Pedido 00011 e valor: R$ 18,00            0000018,00
20011000011Item do Pedido 00011 e valor: R$ 6,00             0000006,00
20011100011Item do Pedido 00011 e valor: R$ 9,00             0000009,00
20011200011Item do Pedido 00011 e valor: R$ 1,00             0000001,00
20011300011Item do Pedido 00011 e valor: R$ 1,00             0000001,00
20011400011Item do Pedido 00011 e valor: R$ 1,00             0000001,00
20011500011Item do Pedido 00011 e valor: R$ 3,00             0000003,00
20011600011Item do Pedido 00011 e valor: R$ 0,00             0000000,00
20011700011Item do Pedido 00011 e valor: R$ 0,00             0000000,00
20011800011Item do Pedido 00011 e valor: R$ 0,00             0000000,00
100012Pedido de Compra em 04/12/2019 com 10 itens201912041855270000088,00E
20011900012Item do Pedido 00012 e valor: R$ 52,00            0000052,00
20012000012Item do Pedido 00012 e valor: R$ 30,00            0000030,00
20012100012Item do Pedido 00012 e valor: R$ 3,00             0000003,00
20012200012Item do Pedido 00012 e valor: R$ 3,00             0000003,00
20012300012Item do Pedido 00012 e valor: R$ 0,00             0000000,00
20012400012Item do Pedido 00012 e valor: R$ 0,00             0000000,00
20012500012Item do Pedido 00012 e valor: R$ 0,00             0000000,00
20012600012Item do Pedido 00012 e valor: R$ 0,00             0000000,00
20012700012Item do Pedido 00012 e valor: R$ 0,00             0000000,00
20012800012Item do Pedido 00012 e valor: R$ 0,00             0000000,00
20012900012Item do Pedido 00012 e valor: R$ 0,00             0000000,00
100013Pedido de Compra em 04/12/2019 com 10 itens201912041855270000083,00E
20013000013Item do Pedido 00013 e valor: R$ 10,00            0000010,00
20013100013Item do Pedido 00013 e valor: R$ 72,00            0000072,00
20013200013Item do Pedido 00013 e valor: R$ 1,00             0000001,00
20013300013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
20013400013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
20013500013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
20013600013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
20013700013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
20013800013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
20013900013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
20014000013Item do Pedido 00013 e valor: R$ 0,00             0000000,00
100014Pedido de Compra em 04/12/2019 com 10 itens201912041855270000062,00E
20014100014Item do Pedido 00014 e valor: R$ 61,00            0000061,00
20014200014Item do Pedido 00014 e valor: R$ 1,00             0000001,00
20014300014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20014400014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20014500014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20014600014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20014700014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20014800014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20014900014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20015000014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
20015100014Item do Pedido 00014 e valor: R$ 0,00             0000000,00
100015Pedido de Compra em 04/12/2019 com 10 itens201912041855270000152,00E
20015200015Item do Pedido 00015 e valor: R$ 113,00           0000113,00
20015300015Item do Pedido 00015 e valor: R$ 39,00            0000039,00
20015400015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20015500015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20015600015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20015700015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20015800015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20015900015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20016000015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20016100015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
20016200015Item do Pedido 00015 e valor: R$ 0,00             0000000,00
100016Pedido de Compra em 03/12/2019 com 11 itens201912031855270000191,00E
20016300016Item do Pedido 00016 e valor: R$ 52,00            0000052,00
20016400016Item do Pedido 00016 e valor: R$ 28,00            0000028,00
20016500016Item do Pedido 00016 e valor: R$ 71,00            0000071,00
20016600016Item do Pedido 00016 e valor: R$ 12,00            0000012,00
20016700016Item do Pedido 00016 e valor: R$ 27,00            0000027,00
20016800016Item do Pedido 00016 e valor: R$ 1,00             0000001,00
20016900016Item do Pedido 00016 e valor: R$ 0,00             0000000,00
20017000016Item do Pedido 00016 e valor: R$ 0,00             0000000,00
20017100016Item do Pedido 00016 e valor: R$ 0,00             0000000,00
20017200016Item do Pedido 00016 e valor: R$ 0,00             0000000,00
20017300016Item do Pedido 00016 e valor: R$ 0,00             0000000,00
20017400016Item do Pedido 00016 e valor: R$ 0,00             0000000,00
100017Pedido de Compra em 03/12/2019 com 11 itens201912031855270000167,00E
20017500017Item do Pedido 00017 e valor: R$ 85,00            0000085,00
20017600017Item do Pedido 00017 e valor: R$ 39,00            0000039,00
20017700017Item do Pedido 00017 e valor: R$ 28,00            0000028,00
20017800017Item do Pedido 00017 e valor: R$ 10,00            0000010,00
20017900017Item do Pedido 00017 e valor: R$ 3,00             0000003,00
20018000017Item do Pedido 00017 e valor: R$ 2,00             0000002,00
20018100017Item do Pedido 00017 e valor: R$ 0,00             0000000,00
20018200017Item do Pedido 00017 e valor: R$ 0,00             0000000,00
20018300017Item do Pedido 00017 e valor: R$ 0,00             0000000,00
20018400017Item do Pedido 00017 e valor: R$ 0,00             0000000,00
20018500017Item do Pedido 00017 e valor: R$ 0,00             0000000,00
20018600017Item do Pedido 00017 e valor: R$ 0,00             0000000,00
100018Pedido de Compra em 03/12/2019 com 11 itens201912031855270000080,00E
20018700018Item do Pedido 00018 e valor: R$ 33,00            0000033,00
20018800018Item do Pedido 00018 e valor: R$ 37,00            0000037,00
20018900018Item do Pedido 00018 e valor: R$ 4,00             0000004,00
20019000018Item do Pedido 00018 e valor: R$ 1,00             0000001,00
20019100018Item do Pedido 00018 e valor: R$ 1,00             0000001,00
20019200018Item do Pedido 00018 e valor: R$ 4,00             0000004,00
20019300018Item do Pedido 00018 e valor: R$ 0,00             0000000,00
20019400018Item do Pedido 00018 e valor: R$ 0,00             0000000,00
20019500018Item do Pedido 00018 e valor: R$ 0,00             0000000,00
20019600018Item do Pedido 00018 e valor: R$ 0,00             0000000,00
20019700018Item do Pedido 00018 e valor: R$ 0,00             0000000,00
20019800018Item do Pedido 00018 e valor: R$ 0,00             0000000,00
100019Pedido de Compra em 03/12/2019 com 11 itens201912031855270000039,00E
20019900019Item do Pedido 00019 e valor: R$ 16,00            0000016,00
20020000019Item do Pedido 00019 e valor: R$ 3,00             0000003,00
20020100019Item do Pedido 00019 e valor: R$ 4,00             0000004,00
